Metric,Value
Success Rate (%),0.40
Mean Reward,-38.52
Median Reward,-57.30
Std Reward,60.44
Min Reward,-86.42
Max Reward,337.29
Mean Length,202.39

Episode,Reward,Length
353,-47.06,168
354,-85.90,78
355,105.78,611
356,74.07,485
357,-85.61,79
358,-69.45,120
359,2.66,303
360,-36.10,215
361,-24.12,227
362,47.66,374
363,202.57,864
364,-85.88,78
365,-85.71,78
366,-33.64,204
367,-82.62,94
368,11.48,323
369,6.26,304
370,-49.54,170
371,-50.85,186
372,-33.01,201
373,0.75,277
374,-66.81,122
375,-83.14,91
376,-83.37,90
377,-85.94,78
378,-57.71,161
379,-83.39,90
380,-14.84,273
381,42.63,383
382,48.47,382
383,-85.85,78
384,-29.43,254
385,-69.06,116
386,65.11,525
387,32.53,377
388,-82.97,90
389,-85.96,78
390,64.88,462
391,-71.82,112
392,-62.13,137
393,-35.21,203
394,-4.06,273
395,-35.61,227
396,-54.54,160
397,164.72,777
398,-68.85,124
399,29.76,372
400,3.43,309
401,-86.03,78
402,-86.09,78
403,51.03,464
404,-46.94,168
405,53.14,466
406,-69.36,137
407,-85.89,78
408,33.77,378
409,-44.69,178
410,-64.64,133
411,-43.23,210
412,-49.03,192
413,-51.66,183
414,-52.46,168
415,-85.82,78
416,-57.02,153
417,-43.04,189
418,-82.71,89
419,-62.39,145
420,-55.84,167
421,-25.47,224
422,-65.15,130
423,-85.89,78
424,-82.93,91
425,-82.97,90
426,-82.99,90
427,1.27,291
428,19.63,368
429,-86.12,78
430,-35.86,196
431,-22.41,236
432,-69.33,122
433,-85.92,78
434,-82.70,89
435,-56.40,159
436,337.29,863
437,-57.85,159
438,-52.75,175
439,-85.94,78
440,-83.38,90
441,1.28,330
442,185.62,814
443,-83.06,90
444,-85.94,78
445,-69.36,114
446,-86.03,78
447,-35.99,222
448,-85.93,78
449,-82.93,90
450,16.86,331
451,8.16,334
452,-33.51,250
453,67.36,486
454,-43.38,183
455,-45.21,197
456,-21.38,264
457,-42.97,180
458,-37.97,199
459,-83.20,89
460,-28.54,234
461,-52.51,151
462,105.36,566
463,-85.92,78
464,-66.66,121
465,5.99,328
466,-85.84,78
467,-86.05,78
468,-83.34,90
469,-85.95,78
470,-18.50,244
471,-82.64,88
472,46.89,499
473,-54.95,162
474,-85.82,78
475,-33.76,234
476,-26.17,214
477,-73.00,109
478,-51.60,182
479,-52.10,182
480,-85.87,78
481,58.39,419
482,33.84,350
483,-85.99,78
484,-40.44,208
485,-47.95,200
486,-40.43,188
487,-85.61,79
488,-68.84,128
489,219.58,871
490,-26.97,213
491,-50.45,177
492,-83.43,90
493,-83.17,90
494,-43.25,194
495,-82.99,90
496,-86.22,77
497,-86.26,77
498,45.07,415
499,-86.08,78
500,-68.40,132
501,-22.67,243
502,-56.13,154
503,-86.07,78
504,-85.87,78
505,-83.02,90
506,-48.63,205
507,-83.16,91
508,-86.02,78
509,-7.67,296
510,-85.99,78
511,-85.94,78
512,-59.90,148
513,-85.92,78
514,-83.06,90
515,-86.09,78
516,2.42,315
517,-86.03,78
518,-16.38,243
519,22.62,337
520,-85.82,78
521,-85.96,78
522,-74.31,105
523,-82.86,88
524,36.25,367
525,-82.98,90
526,-82.81,91
527,-86.05,78
528,-82.90,89
529,90.28,534
530,-82.60,90
531,-62.27,141
532,-85.90,78
533,-23.25,237
534,-85.89,78
535,-24.32,222
536,-85.92,78
537,-83.12,90
538,90.58,520
539,-82.91,90
540,-47.28,184
541,-12.65,265
542,-48.29,181
543,-86.05,78
544,-31.75,250
545,-82.99,90
546,-53.25,177
547,1.87,326
548,-3.65,277
549,-86.01,78
550,-29.64,240
551,94.07,617
552,50.31,503
553,-41.32,194
554,-45.75,174
555,1.31,289
556,-85.94,78
557,-86.09,78
558,-83.33,90
559,34.70,386
560,77.97,485
561,-85.90,78
562,-6.88,303
563,-26.28,230
564,91.96,552
565,-86.10,78
566,65.90,517
567,-82.95,90
568,-38.63,213
569,-28.68,231
570,-85.88,78
571,-56.53,157
572,-49.41,162
573,-38.97,216
574,-85.96,78
575,-85.86,78
576,-44.96,176
