Metric,Value
Algorithm,TD3
Environment,CustomBipedalWalker-v3 (Hardcore with Bridges)
Episodes,1000
Success Rate (%),0.00
Mean Reward,231.98
Median Reward,244.26
Std Reward,42.58
Min Reward,-74.20
Max Reward,281.25
Mean Length,420.93
Std Length,77.62

Episode,Reward,Length
382,243.70,454
383,227.49,500
384,208.94,500
385,261.00,348
386,240.50,474
387,242.55,458
388,160.26,179
389,220.58,500
390,65.10,500
391,248.55,406
392,240.97,469
393,246.68,401
394,255.06,408
395,251.15,392
396,257.12,393
397,230.34,471
398,246.52,457
399,174.38,352
400,208.47,500
401,264.47,332
402,269.88,334
403,247.24,451
404,265.89,305
405,265.89,340
406,227.10,493
407,111.88,204
408,269.47,327
409,255.99,400
410,244.60,500
411,257.88,400
412,221.80,500
413,243.07,462
414,89.15,256
415,252.94,414
416,261.04,356
417,251.93,403
418,239.52,494
419,239.09,459
420,245.29,462
421,248.52,407
422,38.90,500
423,237.08,478
424,236.55,446
425,209.73,500
426,118.65,212
427,250.40,393
428,257.64,387
429,229.32,500
430,246.59,400
431,235.31,476
432,237.91,469
433,229.64,462
434,264.04,353
435,196.63,500
436,248.21,395
437,259.08,383
438,260.13,391
439,246.46,445
440,240.91,467
441,248.55,413
442,160.50,269
443,257.69,404
444,237.29,500
445,258.11,399
446,246.06,454
447,245.84,417
448,213.29,500
449,227.93,500
450,247.27,408
451,258.40,391
452,221.70,500
453,262.13,350
454,243.47,451
455,196.48,219
456,115.86,292
457,237.55,464
458,113.84,146
459,239.79,415
460,227.64,500
461,235.23,452
462,253.53,400
463,206.67,500
464,257.15,392
465,244.24,449
466,233.80,459
467,228.12,487
468,222.98,500
469,271.39,299
470,217.19,500
471,237.87,470
472,244.29,453
473,256.83,393
474,217.60,500
475,235.73,500
476,243.69,466
477,264.95,340
478,247.89,455
479,231.55,500
480,244.03,440
481,258.49,397
482,246.83,424
483,240.17,467
484,239.27,479
485,244.07,448
486,218.06,500
487,195.42,500
488,210.73,500
489,236.99,471
490,244.79,410
491,268.29,346
492,238.38,454
493,224.98,500
494,258.52,404
495,254.75,399
496,246.40,409
497,249.41,450
498,250.03,402
499,248.34,394
500,239.18,463
501,253.44,457
502,213.57,500
503,233.34,500
504,254.85,387
505,216.66,500
506,232.96,473
507,147.66,500
508,231.73,500
509,214.94,500
510,244.94,397
511,253.65,354
512,222.35,500
513,250.24,393
514,258.42,400
515,207.46,500
516,233.62,498
517,260.32,325
518,225.95,500
519,227.43,500
520,234.48,468
521,247.57,460
522,150.55,188
523,244.22,414
524,270.80,310
525,222.41,500
526,230.11,500
527,224.41,500
528,265.05,350
529,217.56,500
530,245.01,477
531,221.41,481
532,259.84,393
533,240.29,467
534,259.07,355
535,279.38,283
536,35.23,78
537,51.82,140
538,261.20,393
539,261.97,358
540,244.78,459
541,239.64,464
542,227.77,500
543,100.08,203
544,248.23,406
545,215.16,500
546,218.79,487
547,237.06,446
548,264.00,344
549,262.29,335
550,204.28,500
551,246.12,457
552,263.64,386
553,209.36,500
554,242.42,497
555,277.67,283
556,261.33,344
557,247.55,398
558,272.61,292
559,264.05,341
560,251.33,400
561,222.23,500
562,241.24,458
563,255.64,392
564,251.39,392
565,230.11,500
566,262.77,349
567,262.61,346
568,251.21,341
569,207.48,500
570,237.52,459
571,241.18,452
572,100.36,267
573,249.87,399
574,245.07,413
575,243.06,454
576,243.94,425
577,167.18,500
578,249.85,406
579,93.54,188
580,181.93,229
581,253.54,397
582,240.52,446
583,253.58,407
584,203.43,500
585,256.29,397
586,197.27,375
587,253.74,405
588,251.21,355
589,202.55,500
590,253.57,402
591,254.91,391
592,240.19,450
593,261.11,356
594,260.01,385
595,241.38,465
596,236.33,449
597,173.17,500
598,258.56,384
599,254.98,408
600,30.99,162
601,250.29,401
602,240.69,465
603,262.29,385
604,226.69,500
605,209.04,500
606,246.22,467
607,220.98,500
608,-13.41,500
609,196.99,500
610,213.80,500
611,247.22,450
612,212.88,500
613,253.24,404
614,239.33,458
615,206.44,500
616,211.17,500
617,254.12,404
618,255.07,446
619,249.19,449
620,164.16,500
621,227.89,482
622,244.50,409
623,246.47,458
624,253.54,366
625,192.96,500
626,249.46,441
627,238.21,468
628,263.69,342
629,247.40,408
630,248.40,408
631,244.69,449
632,246.84,463
633,239.97,460
634,270.73,302
635,233.39,500
636,237.86,461
637,177.67,500
638,238.60,461
639,249.04,452
640,242.55,452
641,231.22,500
642,240.63,466
643,255.30,408
644,233.44,450
645,240.59,467
646,238.09,466
647,250.94,338
648,249.04,411
649,234.09,469
650,235.61,428
651,240.42,462
652,223.77,474
653,250.28,458
654,167.26,500
655,140.34,500
656,270.22,318
657,260.79,363
658,240.39,457
659,256.40,388
660,255.19,409
661,265.43,344
662,258.97,401
663,244.91,412
664,223.17,500
665,249.10,466
666,216.33,500
667,273.45,288
668,217.25,500
669,259.30,387
670,250.73,443
671,268.90,343
672,263.78,384
673,268.41,343
674,243.18,455
675,232.81,500
676,252.90,449
677,239.02,451
678,249.99,404
679,168.63,500
680,217.69,500
681,213.63,500
682,156.26,316
683,231.77,469
684,210.64,500
685,258.97,390
686,250.28,415
687,241.89,461
688,268.18,296
689,247.09,425
690,182.78,500
691,250.61,401
692,270.42,327
693,225.59,500
694,211.60,500
695,220.66,500
696,236.13,500
697,269.21,335
698,252.64,398
699,265.36,347
700,249.17,392
701,255.14,384
702,262.16,354
703,281.05,267
704,257.06,391
705,259.65,400
706,267.60,313
707,247.31,407
708,261.61,345
709,239.35,458
710,208.81,500
711,272.02,330
712,256.95,397
713,242.57,456
714,217.66,500
715,237.94,464
716,244.47,454
717,257.51,389
718,226.26,472
719,221.38,452
720,268.49,342
721,205.95,500
722,224.50,269
723,243.44,460
724,250.88,388
725,232.28,487
726,267.06,343
727,215.01,417
728,242.42,455
729,204.45,500
730,218.75,500
731,173.74,369
