Metric,Value
Algorithm,TD3
Environment,BipedalWalker-v3 (Easy)
Episodes,1000
Success Rate (%),0.00
Mean Reward,282.47
Median Reward,295.99
Std Reward,60.39
Min Reward,-125.23
Max Reward,299.29
Mean Length,844.64
Std Length,112.73

Episode,Reward,Length
381,295.36,852
382,296.56,815
383,294.97,857
384,297.34,831
385,295.89,836
386,295.54,843
387,296.03,836
388,295.76,839
389,298.14,824
390,296.03,846
391,295.06,841
392,294.68,854
393,295.71,850
394,296.24,830
395,296.41,838
396,296.65,828
397,297.89,824
398,297.06,825
399,296.23,843
400,295.83,836
401,295.52,830
402,296.20,825
403,297.19,822
404,295.98,841
405,295.27,830
406,294.45,854
407,295.31,856
408,296.02,836
409,296.34,844
410,295.23,839
411,295.23,846
412,295.89,828
413,22.41,686
414,296.67,835
415,295.63,841
416,295.06,841
417,296.28,829
418,296.03,835
419,293.46,873
420,297.39,824
421,169.22,928
422,294.53,838
423,296.86,824
424,295.47,849
425,297.46,828
426,274.70,1058
427,296.17,833
428,293.74,858
429,296.31,837
430,296.88,823
431,298.01,818
432,296.20,828
433,297.83,824
434,298.35,831
435,117.33,811
436,293.58,858
437,295.09,836
438,28.42,564
439,296.03,831
440,295.47,852
441,295.70,848
442,296.59,846
443,296.11,837
444,297.94,826
445,296.25,839
446,297.40,832
447,296.50,825
448,296.49,829
449,293.07,870
450,294.88,835
451,296.68,838
452,295.61,819
453,297.42,818
454,298.63,816
455,296.39,841
456,294.17,836
457,296.39,831
458,296.74,856
459,294.88,852
460,295.19,846
461,296.67,829
462,296.94,844
463,295.99,835
464,295.32,850
465,296.99,833
466,296.35,845
467,296.65,828
468,294.93,832
469,295.70,825
470,297.81,817
471,294.08,832
472,296.78,835
473,295.35,842
474,295.01,844
475,296.25,832
476,220.14,1600
477,295.30,837
478,296.49,816
479,295.04,856
480,297.68,816
481,296.97,833
482,296.46,826
483,-74.93,321
484,297.22,822
485,296.37,832
486,297.46,820
487,294.47,846
488,296.02,835
489,296.28,839
490,296.79,825
491,294.95,844
492,294.57,862
493,295.98,820
494,-0.88,1600
495,295.51,859
496,295.84,839
497,295.89,831
498,129.60,1600
499,296.40,827
500,296.86,837
501,296.84,834
502,296.60,842
503,294.29,860
504,296.86,830
505,293.71,860
506,296.41,837
507,296.63,824
508,294.55,860
509,296.18,832
510,294.84,841
511,295.46,838
512,296.96,816
513,296.53,814
514,296.49,832
515,295.84,838
516,267.17,1159
517,296.18,824
518,295.75,847
519,294.64,863
520,295.44,833
521,292.52,874
522,296.74,828
523,296.32,842
524,296.57,826
525,295.28,833
526,295.57,854
527,295.83,829
528,295.03,832
529,297.33,827
530,297.46,826
531,296.54,831
532,67.74,619
533,295.27,847
534,-106.81,203
535,297.71,810
536,296.39,845
537,295.53,841
538,294.69,831
539,296.50,833
540,293.82,860
541,294.04,864
542,296.43,829
543,294.33,875
544,296.34,836
545,297.45,821
546,296.07,844
547,295.43,840
548,296.40,838
549,296.26,833
550,296.79,835
551,295.51,855
552,294.92,842
553,295.58,839
554,294.62,845
555,294.99,836
556,295.85,849
557,295.26,839
558,294.23,850
559,296.63,842
560,295.91,833
561,295.77,844
562,296.04,837
563,295.71,849
564,294.68,845
565,297.24,822
566,297.09,830
567,296.73,833
568,288.56,941
569,296.95,827
570,69.94,656
571,295.49,828
572,293.94,865
573,293.65,854
574,295.95,830
575,297.76,831
576,296.67,825
577,295.32,849
578,297.19,837
579,297.58,820
580,-49.76,1600
581,296.40,840
582,297.18,821
583,295.32,837
584,29.90,568
585,297.73,817
586,295.68,853
587,295.63,835
588,295.84,827
589,297.03,833
590,295.63,846
591,294.48,828
592,295.99,831
593,295.39,858
594,295.62,855
595,297.00,821
596,295.94,834
597,296.20,829
598,294.97,837
599,297.36,821
600,296.65,827
601,297.12,831
602,295.11,843
603,295.03,838
604,296.55,840
605,295.13,837
606,297.22,819
607,295.11,844
608,126.19,1600
609,299.29,808
610,296.60,834
611,295.65,827
612,292.66,878
613,296.75,815
614,297.27,826
615,298.73,806
616,296.45,832
617,296.42,846
618,292.31,855
619,295.56,830
620,297.08,828
621,86.22,941
622,295.29,837
623,294.11,849
624,294.82,855
625,296.78,837
626,295.75,834
627,294.25,853
628,297.48,820
629,295.28,833
630,297.99,816
631,293.50,857
632,295.63,858
633,295.42,846
634,295.53,862
635,295.24,840
636,295.05,846
637,297.51,825
638,295.86,841
639,296.70,830
640,296.15,835
641,295.75,841
642,133.34,1039
643,295.32,835
644,296.09,830
645,294.52,840
646,293.55,858
647,295.60,845
648,296.37,833
649,294.66,834
650,296.40,827
651,296.05,856
652,296.41,829
653,296.31,832
654,296.28,834
655,296.58,827
656,297.18,822
657,296.97,851
658,294.40,844
659,297.20,834
660,296.00,843
661,298.24,816
662,296.11,842
663,296.10,841
664,298.56,807
665,295.56,845
666,295.92,818
667,297.51,829
668,294.45,832
669,296.31,835
670,295.12,860
671,297.01,830
672,297.15,839
673,293.60,853
674,295.43,848
675,294.34,841
676,295.51,853
677,-43.23,1600
678,296.27,830
679,296.70,827
680,295.46,845
681,297.00,821
682,297.25,829
683,296.67,819
684,296.39,851
685,296.31,823
686,294.08,835
687,296.17,840
688,298.73,835
689,74.41,1001
690,298.83,810
691,294.37,859
692,295.88,845
693,295.19,839
694,295.57,846
695,-55.75,546
696,295.89,820
697,296.38,850
698,-68.45,1600
699,295.27,836
700,295.83,830
701,16.86,571
702,295.72,833
703,294.09,840
704,297.64,821
705,296.18,821
706,297.60,818
707,296.68,829
708,295.49,835
709,296.23,828
710,296.10,829
711,138.24,1020
712,294.53,852
713,294.80,849
714,295.24,856
715,296.48,832
716,297.20,829
717,295.61,835
718,105.59,737
719,296.81,822
720,292.02,879
721,296.57,819
722,293.09,866
723,271.58,1084
724,297.20,836
725,162.73,1600
726,296.41,834
727,295.96,843
728,129.17,854
729,296.15,852
730,297.02,816
731,297.80,814
732,295.56,835
733,296.96,817
734,295.90,857
735,294.70,852
736,294.45,843
737,168.89,1600
738,297.43,830
739,296.34,830
740,296.86,836
741,297.99,825
742,295.80,841
743,294.66,850
744,297.09,816
745,295.10,841
746,295.75,831
747,297.96,832
748,297.02,836
749,296.68,826
750,295.00,839
751,296.37,839
752,294.75,837
753,296.16,835
754,297.12,823
755,296.68,828
756,295.51,824
757,296.34,839
758,296.56,840
759,297.62,833
760,295.79,831
761,294.67,870
762,297.50,821
763,296.43,827
764,295.46,849
765,294.57,847
766,293.83,866
767,297.91,824
768,295.28,844
769,296.88,834
770,297.15,834
771,296.37,823
772,297.97,822
773,295.99,835
774,296.87,830
775,297.49,826
776,298.27,820
777,296.10,851
778,296.61,840
779,295.88,821
780,295.51,828
781,296.73,825
782,296.95,833
783,297.09,820
784,295.33,833
785,295.42,849
786,297.13,824
787,296.57,839
788,296.06,841
789,297.26,818
790,293.87,859
791,296.45,822
792,295.72,847
793,296.65,835
794,297.93,819
795,296.08,860
796,-81.29,1600
797,296.79,825
798,294.33,853
799,296.74,834
800,296.25,828
801,296.68,849
802,297.67,841
803,294.71,843
804,126.08,957
805,296.53,836
806,295.40,831
807,296.19,835
808,296.19,840
809,295.64,832
810,295.57,829
811,295.70,833
812,295.77,842
813,297.42,820
814,295.44,855
815,296.13,839
816,297.21,808
817,295.23,847
818,293.69,863
819,295.81,827
820,296.01,839
821,297.05,827
822,294.28,834
823,297.24,827
824,295.79,818
825,296.23,823
826,295.83,852
827,296.84,844
828,296.01,861
829,297.85,819
830,295.96,842
831,295.20,843
832,295.79,851
833,297.73,828
834,296.65,818
835,296.30,829
836,296.66,838
837,294.95,845
838,295.54,846
839,294.84,881
840,294.99,856
841,297.26,815
842,294.07,863
843,295.27,842
844,295.90,850
845,296.62,833
846,295.84,847
847,296.40,844
848,298.91,815
849,294.86,841
850,295.55,840
851,294.68,844
852,294.79,854
853,296.67,848
854,295.97,846
855,294.95,857
856,297.14,820
857,295.28,856
858,287.26,921
859,295.64,838
860,296.27,833
861,296.06,836
862,-97.05,401
863,296.75,837
864,295.41,837
865,296.84,818
866,295.75,829
867,293.87,865
868,296.38,836
869,294.58,850
870,294.25,873
871,125.11,884
872,295.73,838
873,297.25,822
874,296.17,823
875,295.17,845
876,297.76,817
877,294.39,851
878,295.80,850
879,295.49,830
880,297.16,827
881,296.50,833
882,-33.56,935
883,296.51,835
884,297.41,824
885,295.06,851
886,295.57,839
887,295.84,822
888,296.69,831
889,89.90,847
890,296.64,824
891,294.14,865
892,297.79,822
893,296.91,826
894,297.00,826
895,296.80,841
896,297.91,826
897,296.02,839
898,294.91,844
899,297.27,832
900,296.86,828
901,296.66,826
902,297.78,824
903,295.29,848
904,294.12,855
905,294.65,852
906,297.05,840
907,297.00,828
908,297.20,834
909,295.69,829
910,296.87,839
911,296.58,827
912,296.01,839
913,296.53,837
914,295.56,866
915,296.56,831
916,294.36,854
917,295.16,847
918,-87.59,338
919,297.23,822
920,295.43,835
921,296.28,837
922,296.86,827
923,296.79,830
924,294.41,842
925,55.40,698
926,296.28,829
927,295.66,856
928,296.04,851
929,298.32,818
930,297.02,824
931,296.87,825
932,296.50,826
933,296.04,825
934,296.46,837
935,295.65,842
936,293.42,855
937,298.16,826
938,296.64,826
939,295.02,845
940,292.59,857
941,296.31,835
942,297.21,824
943,67.42,793
944,296.16,827
945,296.02,834
946,295.06,847
947,295.56,835
948,295.70,864
949,296.79,824
950,296.92,838
951,-83.17,304
952,296.79,850
953,296.54,846
954,295.48,847
955,297.30,825
956,297.82,847
957,297.00,834
958,295.60,834
959,294.27,833
960,297.02,818
961,293.87,851
962,295.93,836
963,298.00,817
964,295.65,840
965,293.99,845
966,26.59,742
967,295.69,828
968,295.27,854
969,298.81,825
970,294.11,871
971,297.27,831
972,297.80,818
973,296.87,824
974,294.98,839
975,246.40,1600
976,295.81,839
977,296.80,839
978,295.99,860
979,295.89,832
980,295.69,833
981,296.31,837
982,296.03,839
983,295.17,849
984,297.45,833
985,297.53,837
986,295.73,845
987,295.32,850
988,296.13,847
989,296.51,833
990,294.36,851
991,296.76,831
992,295.88,848
993,295.85,847
994,295.60,838
995,293.74,874
996,296.07,838
997,296.14,850
998,295.29,836
999,296.05,839
1000,296.47,844
