train/actor_loss,train/ent_coef,train/learning_rate,train/critic_loss,time/total_timesteps,train/n_updates,eval/mean_ep_length,eval/mean_reward
-38.532344818115234,0.20000000298023224,0.000715400584,0.16822108626365662,200000,23749,500.0,-10.8699149
-43.46845245361328,0.20000000298023224,0.000700800584,0.41033101081848145,400000,48749,500.0,-3.0446426
-44.46344757080078,0.20000000298023224,0.0006862005839999999,0.3313002288341522,600000,73749,500.0,-4.6243882
-45.6007080078125,0.20000000298023224,0.0006716005839999999,0.03743765503168106,800000,98749,500.0,-7.721500999999999
