Metric,Value
Algorithm,SAC
Success Rate (%),0.20
Mean Reward,250.18
Median Reward,270.80
Std Reward,56.54
Min Reward,-65.22
Max Reward,301.98
Mean Length,405.37

Episode,Reward,Length
388,232.50,500
389,262.96,491
390,196.98,266
391,255.45,500
392,242.80,500
393,274.26,445
394,269.16,452
395,257.96,500
396,275.25,451
397,75.45,184
398,290.15,315
399,279.35,390
400,264.57,469
401,219.90,293
402,282.90,374
403,195.82,500
404,267.89,464
405,285.00,319
406,279.93,389
407,283.18,372
408,246.19,500
409,263.38,500
410,270.72,405
411,255.51,457
412,284.33,328
413,295.46,301
414,240.65,453
415,261.63,442
416,279.76,438
417,247.22,500
418,274.20,455
419,235.49,500
420,271.03,440
421,292.50,312
422,281.58,380
423,15.00,43
424,238.39,500
425,235.63,500
426,282.59,380
427,283.31,386
428,277.62,450
429,222.29,282
430,283.53,373
431,282.86,317
432,259.14,488
433,279.02,439
434,275.42,425
435,271.77,440
436,274.57,344
437,34.45,49
438,265.23,458
439,287.85,378
440,235.83,500
441,279.77,379
442,279.17,379
443,276.01,394
444,285.92,375
445,277.43,441
446,240.54,500
447,253.28,500
448,250.97,500
449,233.59,500
450,273.68,329
451,268.54,500
452,227.20,255
453,256.62,500
454,276.54,441
455,277.52,293
456,252.49,500
457,283.70,334
458,273.05,449
459,240.76,500
460,19.19,56
461,274.36,343
462,239.38,500
463,287.98,322
464,236.61,500
465,268.94,457
466,257.34,500
467,267.94,455
468,72.25,92
469,285.40,320
470,206.95,274
471,295.37,253
472,273.45,446
473,282.27,374
474,265.85,446
475,279.18,438
476,259.00,500
477,207.27,500
478,272.46,452
479,208.74,500
480,288.74,308
481,274.87,359
482,279.95,386
483,271.75,500
484,271.22,448
485,246.83,500
486,263.38,500
487,253.54,500
488,276.29,342
489,266.44,455
490,269.22,460
491,261.26,471
492,267.13,458
493,266.51,500
494,212.96,500
495,216.55,500
496,279.17,438
497,267.20,500
498,218.54,500
499,276.33,451
500,269.98,452
501,271.73,447
502,283.37,330
503,264.79,464
504,265.03,455
505,18.44,43
506,290.51,313
507,271.40,448
508,232.13,500
509,67.01,146
510,267.38,441
511,251.61,500
512,272.02,446
513,275.94,452
514,278.02,443
515,258.09,500
516,269.95,496
517,291.55,309
518,269.61,364
519,254.78,490
520,273.80,437
521,277.28,391
522,277.19,391
523,269.09,438
524,67.23,74
525,264.89,456
526,256.03,487
527,257.01,454
528,245.41,500
529,248.56,500
530,276.70,448
531,44.48,67
532,228.58,500
533,279.29,389
534,254.96,497
535,242.93,500
536,290.87,309
537,269.19,443
538,245.41,500
539,275.86,445
540,242.06,500
541,275.76,440
542,277.42,386
543,273.17,405
544,267.63,446
545,281.41,386
546,280.38,331
547,282.91,384
548,269.47,396
549,279.45,374
550,276.73,448
551,235.16,500
552,258.55,404
553,196.26,500
554,264.44,416
555,275.89,450
556,220.35,500
557,246.73,500
558,245.74,500
559,224.76,500
560,124.43,291
561,288.43,308
562,247.84,500
563,284.63,367
564,274.15,448
565,221.11,500
566,42.80,179
567,255.68,484
568,129.82,207
569,231.21,500
570,238.95,500
571,274.57,450
572,259.11,500
573,293.20,304
574,261.61,500
575,281.34,386
576,274.59,387
577,281.17,437
578,284.54,375
579,260.61,442
580,293.28,314
581,252.58,500
582,50.83,160
583,279.77,448
584,271.38,368
585,198.58,500
586,275.34,454
587,259.68,500
588,280.98,383
589,289.17,305
590,246.27,500
591,263.64,458
592,252.09,500
593,276.80,400
594,275.60,490
595,280.34,451
596,119.10,262
597,240.30,500
598,286.86,378
599,287.04,316
600,153.94,210
601,279.18,379
602,227.10,500
603,254.10,368
604,94.87,165
605,272.70,498
606,290.86,319
607,67.10,149
608,269.69,403
609,264.42,458
610,277.41,337
611,278.88,384
612,262.29,476
613,140.86,142
614,260.93,478
615,277.49,438
616,282.29,339
617,286.46,372
618,278.96,386
619,249.06,500
620,284.15,378
621,243.28,500
622,272.18,453
623,62.15,81
624,189.23,302
625,281.84,378
626,281.17,442
627,261.52,500
628,218.15,500
629,270.67,444
630,261.35,453
631,82.51,101
632,292.04,309
633,195.07,500
634,296.00,311
635,287.56,373
636,284.52,372
637,271.77,455
638,23.21,48
639,274.99,395
640,276.36,446
641,299.46,298
642,275.42,383
643,276.11,390
644,282.70,434
645,270.99,438
646,284.47,381
647,286.07,334
648,291.62,303
649,275.94,443
650,294.47,258
651,284.59,376
652,258.98,500
653,268.72,391
654,276.48,432
655,275.77,447
656,245.85,500
657,273.39,390
658,215.87,500
659,245.81,500
660,265.79,500
661,292.11,260
662,283.29,379
663,254.28,500
664,221.33,500
665,216.01,500
666,173.27,368
667,261.87,468
668,265.33,444
669,141.11,133
670,285.24,374
671,281.14,390
672,234.30,500
673,274.63,460
674,126.54,276
675,281.04,441
676,240.89,500
677,269.76,469
678,277.45,436
679,57.68,63
680,247.32,500
681,276.69,437
682,278.29,385
683,187.65,184
684,273.41,397
685,276.39,444
686,245.06,500
687,267.96,459
688,277.03,384
689,279.96,390
690,267.09,374
691,273.87,454
692,281.74,379
693,236.86,500
694,240.39,369
695,275.30,453
696,205.46,341
697,286.99,378
698,278.18,432
699,246.25,500
700,293.04,256
701,281.85,340
702,278.36,442
703,270.71,454
704,252.71,495
705,285.97,326
706,263.63,412
